,task,num_simulations,num_observation,algorithm,seed,C2ST,C2ST_Z,MMD,MMD_Z,MEDDIST,MEANERR,VARERR,C2ST_1K,C2ST_1K_Z,MMD_1K,MMD_1K_Z,MEDDIST_1K,NLTP,RT,KSD,KSD_1K,num_simulations_simulator,path,folder,num_bins,num_transforms,num_trials,ABSMEANERR,ABSVARERR,DISP
101,ddm,100000,106,MNLE*,2012974607,0.5630499720573425,0.586,0.0077097416,0.008261919,0.4885609,0.08957089280121988,0.06995086991454158,0.562,0.556,0.007855654,0.0071792603,0.48773944,,25.02372029622396,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/105,105,5.0,5.0,10,0.018977285147842443,0.0050025467979305785,1.0016891874070188
155,ddm,100000,107,LAN,3704185807,0.54705,0.54875,0.0011303425,0.0031417608,7.7919316,0.08622851485980307,0.09500300786820719,0.5145,0.5445,0.0003887415,0.0020641088,7.7912426,,48.7221923828125,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/106,106,,,10,0.011321093940511007,0.0025972299687168957,1.0950030078682071
155,ddm,100000,107,MNLE,2786995869,0.54425,0.55255,0.0026874542,0.002306819,7.8339133,0.0704475921680653,0.07625893078627743,0.527,0.5425,0.0015990734,0.0018532276,7.8320017,,25.25151163736979,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/106,106,5.0,5.0,10,0.015509474959260375,0.003010816482524519,1.0464053830918703
155,ddm,100000,107,MNLE*,2786995869,0.5346999764442444,0.55255,0.0026874542,0.002306819,7.8339133,0.09619722705552133,0.0540584513514194,0.527,0.5425,0.0015990734,0.0018532276,7.8320017,,25.25151163736979,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/106,106,5.0,5.0,10,0.017008692152362725,0.002528639719349031,1.0332012130552517
108,ddm,100000,108,LAN,2969943699,0.574,0.59,0.0031818151,0.008507848,5.9490333,0.12285148758224329,0.07422788689363118,0.572,0.5455,0.0043091774,0.007957578,5.923724,,48.80028076171875,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/107,107,,,10,0.027962266499879124,0.003421489197989515,1.0696822580891536
108,ddm,100000,108,MNLE,3346613128,0.54205,0.5472,0.0018130541,0.002955556,6.0615077,0.09319039878912033,0.06833968567067161,0.551,0.5305,-1.4662743e-05,0.0039111376,6.0344152,,25.24732869466146,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/107,107,5.0,5.0,10,0.022879288952456715,0.0038119075737831094,1.0683396856706717
108,ddm,100000,108,MNLE*,3346613128,0.5398499965667725,0.5472,0.0018130541,0.002955556,6.0615077,0.0625507818724925,0.07912548835727232,0.551,0.5305,-1.4662743e-05,0.0039111376,6.0344152,,25.24732869466146,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/107,107,5.0,5.0,10,0.009630978102811188,0.0023238670278283103,1.0740672692322772
188,ddm,100000,109,LAN,4095402365,0.53865,0.53455,0.0007138252,0.0013092756,6.4041023,0.05772587313201217,0.08626633741909928,0.503,0.552,0.00029170513,0.00044763088,6.386545,,49.638850911458334,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/108,108,,,10,0.007126001530913306,0.0009220590740537501,1.0786684493474217
188,ddm,100000,109,MNLE,3884962689,0.55355,0.55105,0.0037720203,0.003877163,6.429152,0.08702856906964393,0.07955956307742061,0.553,0.5385,0.006080508,0.0048742294,6.4155035,,25.444075520833334,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/108,108,5.0,5.0,10,0.010005358381183549,0.0019855626473429056,1.024249363204312
188,ddm,100000,109,MNLE*,3884962689,0.5307000279426575,0.55105,0.0037720203,0.003877163,6.429152,0.13286784174418428,0.11147445832362896,0.553,0.5385,0.006080508,0.0048742294,6.4155035,,25.444075520833334,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/108,108,5.0,5.0,10,0.020572064024371076,0.001913102829903383,1.111474458323629
149,ddm,100000,110,LAN,1484139768,0.56445,0.59035,0.0017536879,0.0068415403,5.7697053,0.12189299478138993,0.08032917123410287,0.5735,0.5705,0.002807498,0.008291483,5.7594504,,49.69511311848958,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/109,109,,,10,0.01444885318639666,0.0011952479110096262,1.062073484962045
149,ddm,100000,110,MNLE,2620892312,0.5398,0.55375,0.002234459,0.0033057928,5.8094215,0.08244430574659842,0.05817038081087562,0.5095,0.5245,0.0006186962,0.003263235,5.772935,,24.97880655924479,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/109,109,5.0,5.0,10,0.02234229308914476,0.009568283059457278,1.0087726255103973
149,ddm,100000,110,MNLE*,2620892312,0.5387499928474426,0.55375,0.002234459,0.0033057928,5.8094215,0.05858619012782507,0.06884240348924485,0.5095,0.5245,0.0006186962,0.003263235,5.772935,,24.97880655924479,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/109,109,5.0,5.0,10,0.01832095911650289,0.01065812112145002,1.0392248299897404
134,ddm,100000,111,LAN,70768899,0.55005,0.56355,0.0017310381,0.003989935,6.4355574,0.08259625927005239,0.06446101225157108,0.548,0.52,0.0013433695,0.0024962425,6.464699,,49.011942545572914,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/110,110,,,10,0.013025327496366743,0.0010844511054318648,1.0629228182347101
134,ddm,100000,111,MNLE,2765762262,0.528,0.5305,0.002497077,0.0009351969,6.5448074,0.03472721171832219,0.03734812260694458,0.5,0.499,-0.00015568733,-2.3841858e-06,6.5519123,,25.47977294921875,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/110,110,5.0,5.0,10,0.017596423693139976,0.00970237800525044,1.008088551781122
134,ddm,100000,111,MNLE*,2765762262,0.515250027179718,0.5305,0.002497077,0.0009351969,6.5448074,0.02947291682698624,0.038508128936284726,0.5,0.499,-0.00015568733,-2.3841858e-06,6.5519123,,25.47977294921875,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/110,110,5.0,5.0,10,0.009661148455496024,0.008552185669440122,1.0002468655108512
0,ddm,100000,112,LAN,3758333810,0.5538,0.57435,0.0038980246,0.0062845945,2.0596514,0.12631505475688956,0.08315361265977553,0.538,0.557,0.0023072958,0.0038746595,2.0612128,,49.705078125,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/111,111,,,10,0.018121304360864537,0.003444707145447469,1.0817747417242092
0,ddm,100000,112,MNLE,1981674123,0.5543,0.56135,0.0009601116,0.002693534,2.084083,0.06583627516218249,0.0666762209235989,0.5155,0.501,0.0008299351,0.001624465,2.142055,,25.51876017252604,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/111,111,5.0,5.0,10,0.007172790021849534,0.005996770518259778,0.9486721062656612
0,ddm,100000,112,MNLE*,1981674123,0.5288000106811523,0.56135,0.0009601116,0.002693534,2.084083,0.05439166100799808,0.054728686477490976,0.5155,0.501,0.0008299351,0.001624465,2.142055,,25.51876017252604,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/111,111,5.0,5.0,10,0.006380522444739467,0.002730747028446034,0.9515173451656656
129,ddm,100000,113,LAN,260717501,0.59765,0.6156,0.0026388168,0.009661794,5.6447344,0.14065418602613694,0.11045202776289778,0.5635,0.568,0.0024445057,0.0069434643,5.686363,,48.596293131510414,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/112,112,,,10,0.02601257970163253,0.018165687688012817,1.101227042220699
129,ddm,100000,113,MNLE,2625137477,0.5245,0.5427,0.0012029409,0.0008352995,5.67463,0.030822689343832352,0.06270628324170309,0.529,0.526,0.0013680458,2.4914742e-05,5.6112323,,25.4665771484375,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/112,112,5.0,5.0,10,0.012577936559925687,0.0008407455084311647,1.022708882635496
129,ddm,100000,113,MNLE*,2625137477,0.5455999970436096,0.5427,0.0012029409,0.0008352995,5.67463,0.04910528851896761,0.045961803902982996,0.529,0.526,0.0013680458,2.4914742e-05,5.6112323,,25.4665771484375,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/112,112,5.0,5.0,10,0.010466958627468596,0.001419412812281115,0.9918744302282732
135,ddm,100000,114,LAN,3616254419,0.53395,0.54315,0.0014977455,0.0022250414,1.6149919,0.06852690551399082,0.04612343113630191,0.535,0.5245,0.0038918257,0.0032504797,1.6075444,,48.79853108723958,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/113,113,,,10,0.015047009865276968,0.005587663569908171,1.018209354921706
135,ddm,100000,114,MNLE,2680010880,0.51835,0.5372,0.0007864237,0.000910759,1.6432459,0.050400049271703516,0.05819824643576546,0.4975,0.5175,-0.0003041029,0.0003093481,1.6575389,,25.93369344075521,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/113,113,5.0,5.0,10,0.013671745214043365,0.0037222294455774543,0.9589185354332324
135,ddm,100000,114,MNLE*,2680010880,0.5174499750137329,0.5372,0.0007864237,0.000910759,1.6432459,0.035442824356468026,0.03068081585604137,0.4975,0.5175,-0.0003041029,0.0003093481,1.6575389,,25.93369344075521,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/113,113,5.0,5.0,10,0.011568249706270538,0.004622435062571622,0.9928522652522298
43,ddm,100000,115,LAN,2628555315,0.67525,0.69415,0.007200837,0.058440566,5.732814,0.366250676934092,0.38352271154269046,0.5275,0.659,0.0053230524,0.059464753,5.707397,,48.74058837890625,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/114,114,,,10,0.04718891961804285,0.01176491637837332,1.3835227115426905
43,ddm,100000,115,MNLE,111393327,0.5796,0.6408,0.012096524,0.023609042,5.771117,0.2636784758511279,0.22655389037571905,0.566,0.614,0.016120434,0.025159001,5.7940903,,25.157513427734376,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/114,114,5.0,5.0,10,0.05845154209712813,0.02548505551725296,1.1823095110030966
43,ddm,100000,115,MNLE*,111393327,0.6067500114440918,0.6408,0.012096524,0.023609042,5.771117,0.17589950957961065,0.29290718599228494,0.566,0.614,0.016120434,0.025159001,5.7940903,,25.157513427734376,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/114,114,5.0,5.0,10,0.005515981750708256,0.03322809813296355,1.235076214889652
147,ddm,100000,116,LAN,1982343233,0.57925,0.6076,0.0015571117,0.009822965,4.1219044,0.15340371759654253,0.12027358587830946,0.567,0.5615,0.00018191338,0.010000706,4.1232443,,48.9739013671875,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/115,115,,,10,0.025086692218120148,0.01579759568013503,1.0253907867324896
147,ddm,100000,116,MNLE,1091934512,0.51645,0.55575,0.00040578842,0.0028922558,4.132677,0.0758003647826381,0.08441043169339374,0.506,0.525,0.00025582314,0.0029718876,4.1307964,,25.2781005859375,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/115,115,5.0,5.0,10,0.005692577930617657,0.017634174052495993,0.9155895683066062
147,ddm,100000,116,MNLE*,1091934512,0.553600013256073,0.55575,0.00040578842,0.0028922558,4.132677,0.025255694598353085,0.03730540583664297,0.506,0.525,0.00025582314,0.0029718876,4.1307964,,25.2781005859375,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/115,115,5.0,5.0,10,0.004641317940863476,0.013268149571717206,0.9839659915908057
56,ddm,100000,117,LAN,3723101067,0.57015,0.57895,0.005252242,0.006319046,1.8354034,0.1246070131316521,0.13246190861544183,0.5665,0.559,0.0056068897,0.0067174435,1.8374398,,49.1082275390625,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/116,116,,,10,0.02111438433167634,0.004161177653616273,1.132461908615442
56,ddm,100000,117,MNLE,1429944136,0.5214,0.537,0.00048482418,0.00036644936,1.8478944,0.01492001204629782,0.058674954407902775,0.495,0.5275,0.001996994,0.0010908842,1.8386242,,25.4744873046875,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/116,116,5.0,5.0,10,0.0023672224043460866,0.002835120934154459,0.9774216830441995
56,ddm,100000,117,MNLE*,1429944136,0.5290499925613403,0.537,0.00048482418,0.00036644936,1.8478944,0.03906340428842504,0.06494213452931077,0.495,0.5275,0.001996994,0.0010908842,1.8386242,,25.4744873046875,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/116,116,5.0,5.0,10,0.009405260500649493,0.003597924767595204,0.9733406213928797
18,ddm,100000,118,LAN,1596560512,0.53905,0.5559,0.0018774271,0.0029069185,1.9261761,0.07354313629641603,0.05295350694247853,0.5305,0.5255,0.0010274649,0.0017633438,1.9338422,,50.49960530598958,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/117,117,,,10,0.01601657939368016,0.0024373775475970637,1.0529535069424787
18,ddm,100000,118,MNLE,1216521759,0.5321,0.5378,0.0015872717,0.0026490688,1.9552523,0.08971960691508549,0.0800976567512231,0.5355,0.5235,0.0012501478,0.0030504465,1.9463695,,25.841800944010416,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/117,117,5.0,5.0,10,0.015324020321416151,0.007263518772956845,1.080097656751223
18,ddm,100000,118,MNLE*,1216521759,0.5224999785423279,0.5378,0.0015872717,0.0026490688,1.9552523,0.03560826609993889,0.05649415985774978,0.5355,0.5235,0.0012501478,0.0030504465,1.9463695,,25.841800944010416,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/117,117,5.0,5.0,10,0.006717897537025813,0.0076247467976206604,1.0442887713020017
184,ddm,100000,119,LAN,2004031445,0.552,0.5767,0.0026848316,0.006325364,7.9658136,0.11099996147575555,0.025145613439054408,0.5425,0.5275,0.0037645102,0.0060842037,8.02335,,47.68418782552083,,,150000000000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-22/21-43-48/118,118,,,10,0.01731020801293167,0.0011039432781981624,0.9946780245050502
184,ddm,100000,119,MNLE,71514861,0.5289,0.54715,0.0013706684,0.0016287565,8.010822,0.06010988010207437,0.1165516453178913,0.524,0.516,0.00083994865,0.0013657808,7.990227,,25.491973876953125,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/118,118,5.0,5.0,10,0.012458989408924792,0.008173785466514056,0.8974403891237519
184,ddm,100000,119,MNLE*,71514861,0.5259000062942505,0.54715,0.0013706684,0.0016287565,8.010822,0.055152655235492544,0.06850008670249107,0.524,0.516,0.00083994865,0.0013657808,7.990227,,25.491973876953125,,,100000.0,/home/janfb/qode/sbibm/lan_nle_comparison/../../results/benchmarking_sbi/multirun/2021-10-29/00-40-46/118,118,5.0,5.0,10,0.01338285147174789,0.0052210034701024345,0.9314999132975089
